INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,03/11/2022,00030500.00,PE      ,00000001.40,00000001.90,00000001.15,00000001.25,000000001004250,          7196500,           287860,            46046,   219503719347.50,       10469347.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00031500.00,PE      ,00000001.65,00000003.55,00000001.20,00000001.25,000000000044950,          1452525,            58101,             7178,    45756774367.50,        2236867.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00032500.00,PE      ,00000002.00,00000003.00,00000001.25,00000001.40,000000000023475,           581575,            23263,             4124,    18902125396.25,         937896.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00033500.00,PE      ,00000001.70,00000003.15,00000001.20,00000001.30,000000000009900,           608500,            24340,             4281,    20385714735.00,         964735.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00034500.00,PE      ,00000003.30,00000003.30,00000001.25,00000001.35,000000000010225,           345650,            13826,             2354,    11925486222.50,         561222.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00035500.00,PE      ,00000002.95,00000003.00,00000001.50,00000001.65,000000000025725,           276950,            11078,             3111,     9832244418.75,         519418.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00035700.00,PE      ,00000002.70,00000002.70,00000001.65,00000001.85,000000000002800,            20225,              809,              416,      722073747.50,          41247.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00035900.00,PE      ,00000002.10,00000002.90,00000001.60,00000001.95,000000000002025,            23725,              949,              563,      851774428.75,          46928.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00036100.00,PE      ,00000001.20,00000002.50,00000001.20,00000001.95,000000000002975,            21350,              854,              444,      770778627.50,          43627.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00036300.00,PE      ,00000002.35,00000002.65,00000000.90,00000001.75,000000000005500,            26650,             1066,              734,      967447723.75,          52723.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00036500.00,PE      ,00000002.40,00000002.90,00000001.40,00000001.55,000000000067850,           343100,            13724,             6046,    12523891192.50,         741192.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00036700.00,PE      ,00000002.50,00000003.00,00000001.10,00000001.70,000000000004050,            37050,             1482,              981,     1359813011.25,          78011.25
OPTIDX    ,BANKNIFTY ,03/11/2022,00036900.00,PE      ,00000002.35,00000003.20,00000001.65,00000001.85,000000000010400,            51800,             2072,             1180,     1911541372.50,         121372.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00037100.00,PE      ,00000002.75,00000003.25,00000001.15,00000001.65,000000000003400,            68400,             2736,             1650,     2537798615.00,         158615.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00037300.00,PE      ,00000002.45,00000003.50,00000001.35,00000001.70,000000000005675,            70625,             2825,             1720,     2634493158.75,         180658.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00037500.00,PE      ,00000002.10,00000003.60,00000001.65,00000001.75,000000000471675,          2116750,            84670,            28479,    79383583233.75,        5458233.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00037700.00,PE      ,00000003.05,00000003.75,00000001.25,00000001.75,000000000033575,           169025,             6761,             3839,     6372691030.00,         448530.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00037900.00,PE      ,00000002.65,00000004.00,00000001.80,00000002.00,000000000021500,           243500,             9740,             5561,     9229337985.00,         687985.00
OPTIDX    ,BANKNIFTY ,03/11/2022,00038100.00,PE      ,00000003.55,00000004.40,00000001.95,00000002.15,000000000046175,           400625,            16025,             8250,    15265061172.50,        1248672.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00038300.00,PE      ,00000004.60,00000004.65,00000002.00,00000002.20,000000000186475,          1000550,            40022,            19708,    38324142938.75,        3077938.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00038500.00,PE      ,00000004.00,00000005.00,00000001.30,00000002.65,000000000865000,          6006400,           240256,            65520,   231268352493.75,       21952493.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00038700.00,PE      ,00000002.70,00000005.55,00000002.65,00000003.10,000000000082175,           979025,            39161,            17375,    37892295278.75,        4027778.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00038900.00,PE      ,00000003.55,00000006.45,00000003.25,00000003.60,000000000124400,          1774025,            70961,            29363,    69017746788.75,        8174288.75
OPTIDX    ,BANKNIFTY ,03/11/2022,00039100.00,PE      ,00000007.15,00000007.70,00000003.65,00000004.10,000000000161000,          1765600,            70624,            31075,    69044052197.50,        9092197.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00039300.00,PE      ,00000007.80,00000009.20,00000004.10,00000004.80,000000000289750,          2348050,            93922,            38834,    92292386602.50,       14021602.50
OPTIDX    ,BANKNIFTY ,03/11/2022,00039500.00,PE      ,00000008.80,00000012.00,00000005.20,00000006.20,000000001481750,         11948300,           477932,           163277,   472047253687.50,       89403687.50
