DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
03-NOV-2022,FUTIDX,BANKEX,03-NOV-2022,47319.83
03-NOV-2022,FUTIDX,BANKEX,10-NOV-2022,47377.70
03-NOV-2022,FUTIDX,BANKEX,17-NOV-2022,47435.60
03-NOV-2022,FUTIDX,BANKEX,24-NOV-2022,47493.60
03-NOV-2022,FUTIDX,BANKEX,01-DEC-2022,47551.65
03-NOV-2022,FUTIDX,BANKEX,08-DEC-2022,47613.45
03-NOV-2022,FUTIDX,BANKEX,15-DEC-2022,47672.35
03-NOV-2022,FUTIDX,BANKEX,29-DEC-2022,47790.45
03-NOV-2022,FUTIDX,BANKEX,25-JAN-2023,48019.00
03-NOV-2022,FUTIDX,BANKNIFTY,24-NOV-2022,41458.65
03-NOV-2022,FUTIDX,BANKNIFTY,29-DEC-2022,41634.10
03-NOV-2022,FUTIDX,BANKNIFTY,25-JAN-2023,41779.75
03-NOV-2022,FUTIDX,FINNIFTY,29-NOV-2022,18642.95
03-NOV-2022,FUTIDX,FINNIFTY,27-DEC-2022,18786.55
03-NOV-2022,FUTIDX,FINNIFTY,31-JAN-2023,19369.00
03-NOV-2022,FUTIDX,MIDCPNIFTY,07-NOV-2022,7492.90
03-NOV-2022,FUTIDX,MIDCPNIFTY,15-NOV-2022,7503.35
03-NOV-2022,FUTIDX,MIDCPNIFTY,22-NOV-2022,7512.55
03-NOV-2022,FUTIDX,MIDCPNIFTY,29-NOV-2022,7521.70
03-NOV-2022,FUTIDX,MIDCPNIFTY,06-DEC-2022,7531.45
03-NOV-2022,FUTIDX,MIDCPNIFTY,13-DEC-2022,7540.80
03-NOV-2022,FUTIDX,MIDCPNIFTY,20-DEC-2022,7550.10
03-NOV-2022,FUTIDX,MIDCPNIFTY,27-DEC-2022,7559.45
03-NOV-2022,FUTIDX,MIDCPNIFTY,03-JAN-2023,7568.80
03-NOV-2022,FUTIDX,MIDCPNIFTY,31-JAN-2023,7606.35
03-NOV-2022,FUTIDX,NIFTY,24-NOV-2022,18118.80
03-NOV-2022,FUTIDX,NIFTY,29-DEC-2022,18186.20
03-NOV-2022,FUTIDX,NIFTY,25-JAN-2023,18242.05
03-NOV-2022,FUTIDX,SENSEX,03-NOV-2022,60836.41
03-NOV-2022,FUTIDX,SENSEX,10-NOV-2022,60910.80
03-NOV-2022,FUTIDX,SENSEX,17-NOV-2022,60985.25
03-NOV-2022,FUTIDX,SENSEX,24-NOV-2022,61059.80
03-NOV-2022,FUTIDX,SENSEX,01-DEC-2022,61134.45
03-NOV-2022,FUTIDX,SENSEX,08-DEC-2022,61213.85
03-NOV-2022,FUTIDX,SENSEX,15-DEC-2022,61289.65
03-NOV-2022,FUTIDX,SENSEX,29-DEC-2022,61441.45
03-NOV-2022,FUTIDX,SENSEX,25-JAN-2023,61735.30
03-NOV-2022,FUTIDX,SENSEX50,03-NOV-2022,19021.84
03-NOV-2022,FUTIDX,SENSEX50,10-NOV-2022,19045.10
03-NOV-2022,FUTIDX,SENSEX50,17-NOV-2022,19068.40
03-NOV-2022,FUTIDX,SENSEX50,24-NOV-2022,19091.70
03-NOV-2022,FUTIDX,SENSEX50,01-DEC-2022,19115.05
03-NOV-2022,FUTIDX,SENSEX50,08-DEC-2022,19139.85
03-NOV-2022,FUTIDX,SENSEX50,15-DEC-2022,19163.55
03-NOV-2022,FUTIDX,SENSEX50,29-DEC-2022,19211.05
03-NOV-2022,FUTIDX,SENSEX50,25-JAN-2023,19302.90
03-NOV-2022,FUTIDX,SX40,03-NOV-2022,35443.68
03-NOV-2022,FUTIDX,SX40,10-NOV-2022,35487.05
03-NOV-2022,FUTIDX,SX40,17-NOV-2022,35530.40
03-NOV-2022,FUTIDX,SX40,24-NOV-2022,35573.85
03-NOV-2022,FUTIDX,SX40,01-DEC-2022,35617.30
03-NOV-2022,FUTIDX,SX40,08-DEC-2022,35663.60
03-NOV-2022,FUTIDX,SX40,29-DEC-2022,35796.20
